EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,CITY,COUNTRY_CODE,SKED_SEQ_NO,MONTH,DAY,HOUR
2025/02/20,103.0,A,AL,0J0,ABBEVILLE,US,1,UNATNDD,,
2025/02/20,106.0,A,AL,2A8,ADDISON,US,1,UNATNDD,,
2025/02/20,108.0,A,AL,AL03,AKRON,US,1,UNATNDD,,
2025/02/20,110.0,A,AL,EET,ALABASTER,US,1,ALL,ALL,0700-1900
2025/02/20,110.01,H,AL,AL39,ALABASTER,US,1,ALL,ALL,ALL
2025/02/20,112.1,A,AL,8A0,ALBERTVILLE,US,1,ALL,MON-SAT,0700-DUSK
2025/02/20,112.1,A,AL,8A0,ALBERTVILLE,US,2,ALL,SUN,1230-DUSK
2025/02/20,116.0,A,AL,ALX,ALEXANDER CITY,US,1,ALL,MON-FRI,0800-1700
2025/02/20,116.01,H,AL,33AL,ALEXANDER CITY,US,1,UNATNDD,,
2025/02/20,119.0,A,AL,AIV,ALICEVILLE,US,1,UNATNDD,,
2025/02/20,124.0,A,AL,79J,ANDALUSIA,US,4,ALL,SAT-SUN,0730-1630
2025/02/20,124.0,A,AL,79J,ANDALUSIA,US,5,ALL,MON - FRI,0630-0000
2025/02/20,128.0,A,AL,ANB,ANNISTON,US,2,ALL,MON-FRI,0700-1800
2025/02/20,128.0,A,AL,ANB,ANNISTON,US,3,ALL,SAT-SUN,0800-1700
2025/02/20,128.01,H,AL,AL42,ANNISTON,US,1,UNATNDD,,
2025/02/20,128.02,H,AL,04AL,ANNISTON,US,1,ALL,MON-FRI,0800-1630
2025/02/20,133.5,A,AL,1M3,ARDMORE,US,1,ALL,MON-FRI,DALGT
2025/02/20,134.0,H,KY,90KY,ASHCAMP,US,1,UNATNDD,,
2025/02/20,135.0,A,AL,26A,ASHLAND/LINEVILLE,US,2,UNATNDD,,
2025/02/20,135.01,H,AL,0AL2,ASHLAND,US,1,ALL,ALL,ALL
2025/02/20,137.0,A,AL,AL60,ASHVILLE,US,1,UNATNDD,,
2025/02/20,139.0,H,AL,5AL9,ATHENS,US,1,UNATNDD,,
2025/02/20,140.1,A,AL,0R1,ATMORE,US,1,ALL,MON-FRI,0700-1700
2025/02/20,146.0,A,AL,AUO,AUBURN,US,2,ALL,MON-FRI,0700-1900
2025/02/20,146.0,A,AL,AUO,AUBURN,US,3,ALL,SAT-SUN,0800-1700
2025/02/20,155.0,A,AL,1R8,BAY MINETTE,US,3,ALL,ALL,0800-1700
2025/02/20,155.03,H,AL,6AL9,BAY MINETTE,US,1,UNATNDD,,
2025/02/20,155.31,A,AL,5R7,BAYOU LA BATRE,US,1,ON CALL,,
2025/02/20,155.32,H,AL,AL67,THEODORE,US,1,ALL,ALL,DAWN-DUSK
2025/02/20,157.1,A,AL,EKY,BESSEMER,US,1,ALL,ALL,0800-1800
2025/02/20,157.11,H,AL,AL19,BESSEMER,US,1,ALL,ALL,ALL
2025/02/20,164.0,A,AL,BHM,BIRMINGHAM,US,1,ALL,ALL,ALL
2025/02/20,164.05,H,AL,AL50,BIRMINGHAM,US,1,ALL,ALL,ALL
2025/02/20,164.06,H,AL,AL49,BIRMINGHAM,US,1,ALL,ALL,ALL
2025/02/20,164.07,H,AL,AL91,BIRMINGHAM,US,1,UNATNDD,,
2025/02/20,164.11,H,AL,AL38,BIRMINGHAM,US,1,UNATNDD,,
2025/02/20,164.12,H,AL,0AL8,BIRMINGHAM,US,1,UNATNDD,,
2025/02/20,164.16,H,AL,AL45,BIRMINGHAM,US,1,ALL,ALL,ALL
2025/02/20,164.18,H,AL,AL66,BIRMINGHAM,US,1,UNATNDD,,
2025/02/20,164.19,H,AL,AL65,BIRMINGHAM,US,1,UNATNDD,,
2025/02/20,164.9,A,AL,AL40,BIRMINGHAM,US,1,UNATNDD,,
2025/02/20,170.0,A,AL,AL29,BLOUNTSVILLE,US,1,UNATNDD,,
2025/02/20,174.0,H,AL,1AL0,BOAZ,US,1,UNATNDD,,
2025/02/20,174.02,A,AL,8AL3,BOAZ,US,1,UNATNDD,,
2025/02/20,180.0,A,AL,3AL6,ODENVILLE,US,1,UNATNDD,,
2025/02/20,183.0,A,AL,AL30,BREMEN,US,1,UNATTND,,
2025/02/20,186.0,A,AL,12J,BREWTON,US,1,ALL,MON-FRI,0730-1700
2025/02/20,186.0,A,AL,12J,BREWTON,US,2,ALL,SAT,0830-1700
2025/02/20,186.01,H,AL,0AL6,BREWTON,US,1,UNATNDD,,
2025/02/20,199.003,H,AL,42AL,BUTLER,US,1,UNATNDD,,
2025/02/20,199.1,A,AL,09A,BUTLER,US,1,UNATNDD,,
2025/02/20,207.1,A,AL,61A,CAMDEN,US,1,UNATNDD,,
2025/02/20,210.0,A,AL,AL32,CEDAR BLUFF,US,1,UNATNDD,,
2025/02/20,214.055,H,AL,81AL,CENTREVILLE,US,1,UNATNDD,,
2025/02/20,218.11,A,AL,AL27,CENTRE,US,1,ALL,ALL,ALL
2025/02/20,218.12,A,AL,PYP,CENTRE,US,1,ALL,MON-FRI,0800-1600
2025/02/20,218.7,A,AL,0A8,CENTREVILLE,US,1,UNATNDD,,
2025/02/20,225.0,A,AL,5AL1,CHAPMAN,US,1,UNATNDD,,
2025/02/20,226.5,A,AL,5R1,CHATOM,US,1,UNATNDD,,
2025/02/20,226.51,A,AL,6AL6,CHATOM,US,1,UNATNDD,,
2025/02/20,228.0,H,AL,35AL,CITRONELLE,US,1,ON CALL,ALL,ALL
2025/02/20,233.0,A,AL,02A,CLANTON,US,2,ALL,MON-FRI,0800-1700
2025/02/20,233.1,A,AL,01AL,CLANTON,US,1,UNATNDD,,
2025/02/20,234.0,A,AL,11A,CLAYTON,US,1,UNATNDD,,
2025/02/20,241.0,A,AL,1AL2,COLUMBIANA,US,1,UNATNDD,,
2025/02/20,241.19,H,AL,91AL,COLUMBIANA,US,1,UNATNDD,,
2025/02/20,244.7,H,AL,AL13,COTTONTON,US,1,UNATNDD,,
2025/02/20,245.0,A,AL,9A4,COURTLAND,US,1,UNATNDD,,
2025/02/20,245.6,A,AL,AL51,CRAWFORD,US,1,UNATNDD,,
2025/02/20,246.0,A,AL,15A,CREOLA,US,1,UNATNDD,,
2025/02/20,248.3,A,AL,CMD,CULLMAN,US,1,ALL,ALL,0700-1700
2025/02/20,248.32,H,AL,3AL9,CULLMAN,US,1,ALL,ALL,ALL
2025/02/20,249.4,H,AL,30AL,DANVILLE,US,1,UNATNDD,,
2025/02/20,250.1,A,AL,4R9,DAUPHIN ISLAND,US,1,UNATNDD,,
2025/02/20,250.13,H,AL,6AL8,DAPHNE,US,1,ALL,ALL,ON CALL
2025/02/20,250.2,A,AL,4AL3,DAPHNE,US,1,UNATNDD,,
2025/02/20,251.0,A,AL,DCU,DECATUR,US,1,MAR-NOV,MON-FRI,0700-1900
2025/02/20,251.0,A,AL,DCU,DECATUR,US,3,ALL,SAT-SUN,0800-1700
2025/02/20,251.0,A,AL,DCU,DECATUR,US,4,DEC-FEB,MON-FRI,0700-1800
2025/02/20,251.02,H,AL,1AL1,DECATUR,US,1,UNATNDD,,
2025/02/20,254.0,A,AL,DYA,DEMOPOLIS,US,1,ALL,ALL,0800-1700
2025/02/20,254.01,H,AL,AL14,DEMOPOLIS,US,1,ALL,ALL,ALL
2025/02/20,266.21,H,AL,AL20,DOTHAN,US,1,UNATNDD,,
2025/02/20,266.22,H,AL,AL59,DOTHAN,US,1,ALL,ALL,ALL
2025/02/20,267.0,A,AL,DHN,DOTHAN,US,1,ALL,ALL,ALL
2025/02/20,267.6,A,AL,14J,ELBA,US,1,UNATNDD,,
2025/02/20,267.7,A,AL,7AL9,ELBERTA,US,1,ALL,ALL,DALGT
