EFF_DATE,HP_NAME,HP_NO,STATE_CODE,COUNTRY_CODE,FIX_ID,ICAO_REGION_CODE,NAV_ID,NAV_TYPE,HOLD_DIRECTION,HOLD_DEG_OR_CRS,AZIMUTH,COURSE_INBOUND_DEG,TURN_DIRECTION,LEG_LENGTH_DIST
2025/02/20,AABEE INT*GA*K7,1,GA,US,AABEE,K7,PDK,LS,NE,26,CRS,206,L,
2025/02/20,AADEN WP*GA*K7,1,GA,US,AADEN,K7,,,S,165,RNAV,345,R,15.0
2025/02/20,AALAN WP*AZ*K2,1,AZ,US,AALAN,K2,,,NE,45,RNAV,225,R,10.0
2025/02/20,AALLE WP*CO*K2,1,CO,US,AALLE,K2,,,NE,58,RNAV,238,L,10.0
2025/02/20,AAMMO WP*NC*K7,1,NC,US,AAMMO,K7,,,NW,298,RNAV,118,R,4.0
2025/02/20,AANNE INT*CA*K2,1,CA,US,AANNE,K2,SNS,LS,SE,135,CRS,315,R,
2025/02/20,AANZA WP*MN*K3,1,MN,US,AANZA,K3,,,N,4,RNAV,184,R,4.0
2025/02/20,AARCH WP*IL*K5,1,IL,US,AARCH,K5,,,E,72,RNAV,252,R,10.0
2025/02/20,AARGH WP*OK*K4,1,OK,US,AARGH,K4,,,N,355,RNAV,175,R,4.0
2025/02/20,AARNN WP*NC*K7,1,NC,US,AARNN,K7,,,SW,216,RNAV,36,R,12.0
2025/02/20,AASEN INT*WA*K1,1,WA,US,AASEN,K1,BTG,VORTAC,NW,329,RAD,149,R,10.0
2025/02/20,AASEN INT*WA*K1,2,WA,US,AASEN,K1,UBG,VOR/DME,S,7,RAD,7,R,
2025/02/20,AATAT WP*GA*K7,1,GA,US,AATAT,K7,,,E,99,RNAV,279,R,15.0
2025/02/20,AAYDE WP*WI*K5,1,WI,US,AAYDE,K5,,,SE,118,RNAV,298,R,4.0
2025/02/20,AAYDE WP*WI*K5,2,WI,US,AAYDE,K5,,,W,290,RNAV,110,R,4.0
2025/02/20,AAYRR WP*WA*K1,1,WA,US,AAYRR,K1,,,SW,239,RNAV,59,L,10.0
2025/02/20,ABBEVILLE NDB*LA,1,LA,US,,,BNZ,NDB,NW,337,BRG,157,R,
2025/02/20,ABERDEEN VOR/DME*SD,1,SD,US,,,ABR,VOR/DME,SE,124,RAD,304,R,
2025/02/20,ABERDEEN VOR/DME*SD,2,SD,US,,,ABR,VOR/DME,SE,125,RAD,305,R,
2025/02/20,ABILENE VORTAC*TX,1,TX,US,,,ABI,VORTAC,W,285,RAD,105,R,
2025/02/20,ACACE WP*MN*K3,1,MN,US,ACACE,K3,,,SE,118,RNAV,298,R,4.0
2025/02/20,ACAKO WP*MT*K1,1,MT,US,ACAKO,K1,,,NW,306,RNAV,126,R,5.0
2025/02/20,ACAPU WP*FL*K7,1,FL,US,ACAPU,K7,,,NW,310,RNAV,130,R,4.0
2025/02/20,ACDIV WP*MO*K3,1,MO,US,ACDIV,K3,,,S,197,RNAV,17,R,4.0
2025/02/20,ACEBO WP*MN*K3,1,MN,US,ACEBO,K3,,,S,165,RNAV,345,R,5.0
2025/02/20,ACEDI WP*KY*K5,1,KY,US,ACEDI,K5,,,SW,225,RNAV,45,R,7.0
2025/02/20,ACELA INT*CT*K6,1,CT,US,ACELA,K6,MAD,VOR/DME,S,345,RAD,345,L,
2025/02/20,ACENO INT*NC*K7,1,NC,US,ACENO,K7,POB,LS,NE,48,CRS,228,R,5.0
