EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,CITY,COUNTRY_CODE,RWY_END_ID,ILS_LOC_ID,SYSTEM_TYPE_CODE,TAB_NAME,ILS_COMP_TYPE_CODE,REF_COL_NAME,REF_COL_SEQ_NO,REMARK
2025/02/20,128.0,A,AL,ANB,ANNISTON,US,05,ANB,LS,ILS,,GENERAL_REMARK,2,ILS CLASSIFICATION CODE IA
2025/02/20,128.0,A,AL,ANB,ANNISTON,US,05,ANB,LS,ILS,,GENERAL_REMARK,3,LOC UNUSBL WI 0.6 NM; BYD 16 DEGS RIGHT OF CRS.
2025/02/20,146.0,A,AL,AUO,AUBURN,US,36,AUO,LD,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IB. 
2025/02/20,157.1,A,AL,EKY,BESSEMER,US,05,EKY,LD,ILS,,GENERAL_REMARK,1,GS UNUSBL BYD 4 DEGS RIGHT OF COURSE.
2025/02/20,157.1,A,AL,EKY,BESSEMER,US,05,EKY,LD,ILS,,GENERAL_REMARK,2,DME UNUSBL BYD 20 DEGS RIGHT OF COURSE.
2025/02/20,157.1,A,AL,EKY,BESSEMER,US,05,EKY,LD,ILS_COMPONENT,LOC,DIST_DIR_SOURCE_CODE,1,3RD PARTY
2025/02/20,157.1,A,AL,EKY,BESSEMER,US,05,EKY,LD,ILS_COMPONENT,LOC,LAT_LONG_SOURCE_CODE,1,3RD PARTY SURVEY.
2025/02/20,164.0,A,AL,BHM,BIRMINGHAM,US,06,BHM,LS,ILS,,GENERAL_REMARK,1,ROEBY COMLO LOCATED ON BACK COURSE.
2025/02/20,164.0,A,AL,BHM,BIRMINGHAM,US,06,BHM,LS,ILS,,GENERAL_REMARK,2,ILS CLASSIFICATION CODE IIE
2025/02/20,164.0,A,AL,BHM,BIRMINGHAM,US,18,BXO,LE,ILS,,GENERAL_REMARK,1,LOC UNUSBL BYD 15 DEG RIGHT OF COURSE.
2025/02/20,164.0,A,AL,BHM,BIRMINGHAM,US,18,BXO,LE,ILS,,GENERAL_REMARK,2,DME UNUSBL BYD 15 NM.
2025/02/20,164.0,A,AL,BHM,BIRMINGHAM,US,24,ROE,LD,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IIE
2025/02/20,164.0,A,AL,BHM,BIRMINGHAM,US,24,ROE,LD,ILS,,GENERAL_REMARK,2,GLIDESLOPE UNUSBL BYD 5 DEG RIGHT OF CRS.
2025/02/20,251.0,A,AL,DCU,DECATUR,US,18,DCU,LD,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IE.
2025/02/20,251.0,A,AL,DCU,DECATUR,US,18,DCU,LD,ILS,,GENERAL_REMARK,2,GS UNUSBL WI 0.6 NM OF THLD BLW 850 FT.
2025/02/20,267.0,A,AL,DHN,DOTHAN,US,14,ODA,LD,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IE.
2025/02/20,267.0,A,AL,DHN,DOTHAN,US,14,ODA,LD,ILS,,GENERAL_REMARK,2,AUTOPILOT CPD APCHS NA BLW 590 FT DUE TO RATE OF  CHG/REVERSAL.
2025/02/20,267.0,A,AL,DHN,DOTHAN,US,32,DHN,LS,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IE.
2025/02/20,329.0,A,AL,OZR,FORT NOVOSEL (OZARK),US,06,OZR,LD,ILS,,GENERAL_REMARK,2,NDB/LOM UNMTO 0500-1200Z++ SUN AND MON.
2025/02/20,333.0,A,AL,GAD,GADSDEN,US,24,GAD,LD,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IE. 
2025/02/20,359.7,A,AL,JKA,GULF SHORES,US,27,JKA,LD,ILS_COMPONENT,GLS,LAT_LONG_SOURCE_CODE,1,3RD PARTY SURVEY.
2025/02/20,385.1,A,AL,HSV,HUNTSVILLE,US,18L,TVN,LS,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IE
2025/02/20,385.1,A,AL,HSV,HUNTSVILLE,US,18R,HSV,LS,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IIIE.
2025/02/20,385.1,A,AL,HSV,HUNTSVILLE,US,36L,ELL,LD,ILS,,GENERAL_REMARK,2,ILS CLASSIFICATION CODE IE.
2025/02/20,385.1,A,AL,HSV,HUNTSVILLE,US,36R,JJC,LD,ILS,,GENERAL_REMARK,1,LOC UNUSBL BYD 20 DEGS LEFT OF COURSE.
2025/02/20,385.1,A,AL,HSV,HUNTSVILLE,US,36R,JJC,LD,ILS,,GENERAL_REMARK,2,ILS CLASSIFICATION CODE IE.
2025/02/20,385.4,A,AL,MDQ,HUNTSVILLE,US,18,MDQ,LD,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IT
2025/02/20,385.4,A,AL,MDQ,HUNTSVILLE,US,18,MDQ,LD,ILS,,GENERAL_REMARK,2,DME UNUSBL BYD 27 DEGS RIGHT OF CRS.
2025/02/20,401.3,A,AL,JFX,JASPER,US,27,JFX,LD,ILS,,GENERAL_REMARK,1,DME UNUSABLE BYD 15 DEG LEFT OF CRS.
2025/02/20,437.0,A,AL,BFM,MOBILE,US,32,RUJ,LD,ILS,,GENERAL_REMARK,1,ILS UNMONITORED WHEN ATCT CLSD.
2025/02/20,437.0,A,AL,BFM,MOBILE,US,32,RUJ,LD,ILS,,GENERAL_REMARK,2,ILS CLASSIFICATION CODE IA
2025/02/20,438.0,A,AL,MOB,MOBILE,US,15,MOB,LS,ILS,,GENERAL_REMARK,1,MO NDB LCTD LAT 30-45-38.2555N LONG 088-18-11.5910W.
2025/02/20,438.0,A,AL,MOB,MOBILE,US,15,MOB,LS,ILS,,GENERAL_REMARK,2,ILS CLASSIFICATION CODE IIE.
2025/02/20,438.0,A,AL,MOB,MOBILE,US,33,ATE,LS,ILS,,GENERAL_REMARK,1,ILS CLASSIFICATION CODE IA.
