EFF_DATE,PJA_ID,NAV_ID,NAV_TYPE,RADIAL,DISTANCE,NAVAID_NAME,STATE_CODE,CITY,LATITUDE,LAT_DECIMAL,LONGITUDE,LONG_DECIMAL,ARPT_ID,SITE_NO,SITE_TYPE_CODE,DROP_ZONE_NAME,MAX_ALTITUDE,MAX_ALTITUDE_TYPE_CODE,PJA_RADIUS,CHART_REQUEST_FLAG,PUBLISH_CRITERIA,DESCRIPTION,TIME_OF_USE,FSS_ID,FSS_NAME,PJA_USE,VOLUME,PJA_USER,REMARK
2025/02/20,PAK001,MCG,VORTAC,341.0,0.0,MC GRATH,AK,MCGRATH,62-57-03.7450N,62.95104027,155-36-41.0500W,-155.61140277,16Z,50467.1,C,,5000.0,MSL,,N,Y,, JUN- SEP;IRREGULAR HOURS,MCG,MCGRATH,,,,JUMPING OVER MCGRATH VORTAC
2025/02/20,PAK002,FAI,VORTAC,67.0,27.0,FAIRBANKS,AK,FAIRBANKS,64-45-26.2123N,64.75728119,146-57-55.7727W,-146.96549241,,,,HUSKY DROP ZONE,3500.0,MSL,,Y,Y,,CONTINUOUS,FAI,FAIRBANKS,MILITARY,,ACTIVE ARMY AND USAF,
2025/02/20,PAK004,FAI,VORTAC,42.0,10.0,FAIRBANKS,AK,FAIRBANKS,64-51-23.1296N,64.85642488,147-38-42.1526W,-147.64504238,,,,BIRCH HILL,6000.0,MSL,3.0,N,Y,,SR-SS 1 APRIL 31 OCT,FAI,FAIRBANKS,,,,
2025/02/20,PAK005,TED,VOR/DME,34.44,14.4,ANCHORAGE,AK,ANCHORAGE,61-18-47.4645N,61.31318458,149-33-55.9086W,-149.56553016,,,,,12500.0,MSL,,N,Y,,SUNRISE-SUNSET; WEEKENDS,ENA,KENAI,,,,JUMPS OVER PIPPEL FIELD
2025/02/20,PAK006,TED,VOR/DME,77.1,4.84,ANCHORAGE,AK,ANCHORAGE,61-09-38.2099N,61.16061386,149-47-39.4604W,-149.79429455,CSR,50033.0,A,CAMPBELL,2000.0,MSL,,N,Y,,SUNRISE-SUNSET; UNSCHULED,ENA,KENAI,,,,
2025/02/20,PAK007,FAI,VORTAC,70.0,20.0,FAIRBANKS,AK,FAIRBANKS,64-47-32.0245N,64.79222902,147-13-58.6863W,-147.23296841,,,,CHENA LAKE FLOOD PLAIN,5000.0,MSL,5.0,N,Y,,SR-SS 1 APRIL 31 OCT,FAI,FAIRBANKS,,,,
2025/02/20,PAK008,BIG,VORTAC,67.0,25.0,BIG DELTA,AK,PALMER,64-00-04.6758N,64.00129883,144-46-15.0929W,-144.77085913,,,,FAIRGROUNDS,12500.0,MSL,,N,Y,,SUNRISE-SUNSET; DURING STATE FAIR,ENA,KENAI,,,,
2025/02/20,PAK013,TED,VOR/DME,98.07,27.77,ANCHORAGE,AK,ANCHORAGE,60-57-44.3891N,60.9623303,149-06-26.3520W,-149.10732,AQY,50270.1,A,GIRDWOOD,12500.0,MSL,1.0,Y,Y,,FRI-SUN,ENA,KENAI,,,,
2025/02/20,PAK016,TED,VOR/DME,20.92,14.09,ANCHORAGE,AK,ANCHORAGE,61-20-58.9687N,61.34971352,149-39-13.6261W,-149.65378502,,,,MALEMUTE,5000.0,MSL,,N,Y,,,ENA,KENAI,,,USAF,
2025/02/20,PAK018,FAI,VORTAC,56.0,15.0,FAIRBANKS,AK,FAIRBANKS,64-51-18.0986N,64.85502738,147-26-28.6340W,-147.44128722,,,,NORDALE JUMPSPOT/LITTLE CHEWA BRIDGE,5000.0,MSL,5.0,N,Y,,APR 1 TO OCT 31  SR-SS,FAI,FAIRBANKS,,,,
2025/02/20,PAK019,BGQ,VORTAC,67.0,17.0,BIG LAKE,AK,,61-33-29.9218N,61.55831161,149-22-30.6986W,-149.37519405,,,,WASILLE/ADVENTURE,14000.0,MSL,1.0,Y,Y,,APR - DEC SR-SS,ENA,KENAI,,,,
2025/02/20,PAK024,FAI,VORTAC,39.0,13.0,FAIRBANKS,AK,FAIRBANKS,64-53-01.3416N,64.883706,147-32-39.2160W,-147.54422666,,,,LESLIE'S FIELD,5000.0,MSL,,N,Y,,UNSCHEDULED,FAI,FAIRBANKS,,,,
2025/02/20,PAK025,FAI,VORTAC,79.0,36.0,FAIRBANKS,AK,FAIRBANKS,64-37-09.1350N,64.61920416,146-40-45.4785W,-146.67929958,,,,FIREBIRD,3000.0,MSL,,N,Y,,UNSCHEDULED,FAI,FAIRBANKS,,,,
2025/02/20,PAK026,FAI,VORTAC,20.0,47.0,FAIRBANKS,AK,FAIRBANKS,65-23-03.4840N,65.38430111,146-47-01.4882W,-146.78374672,,,,QUARTZ CREEK/NOME CREEK ROAD,6000.0,MSL,5.0,N,Y,,APR 1 TO OCT 31  SR-SS.,FAI,FAIRBANKS,,,,
2025/02/20,PAK027,,,,,,AK,PALMER,61-35-41.7000N,61.59491666,149-05-19.4000W,-149.08872222,PAQ,50584.0,A,,10000.0,MSL,2.0,Y,Y,,"APR-OCT, SR-SS",PAQ,PALMER,CIVIL,,,CTAF 123.6
2025/02/20,PAL004,MGM,VORTAC,235.0,17.0,MONTGOMERY,AL,,32-04-17.4368N,32.07151022,086-36-09.0322W,-86.60250894,,,,TOMMY DROP ZONE,1500.0,MSL,0.2,N,Y,,OCCASIONAL USE,ANB,ANNISTON,,,C/1/20SFG ARMY,
2025/02/20,PAL005,OKW,VORTAC,231.32,39.85,BROOKWOOD,AL,EUTAW,32-49-13.5000N,32.82041666,087-51-54.3000W,-87.86508333,3A7,293.0,A,,13000.0,AGL,5.0,N,Y,,WEEKENDS AND HOLIDAYS,ANB,ANNISTON,CIVIL,,,
2025/02/20,PAL007,OKW,VORTAC,230.63,25.28,BROOKWOOD,AL,MOUNDVILLE,32-58-10.1650N,32.96949027,087-38-13.2750W,-87.63702083,AL44,450.35,A,,12000.0,AGL,5.0,N,Y,,"0900-SS ON WKENDS, OCCASIONALLY WKDYS BY NOTAM",ANB,ANNISTON,CIVIL,,,
2025/02/20,PAL008,MGM,VORTAC,14.0,13.0,MONTGOMERY,AL,,32-25-47.5855N,32.42988486,086-14-41.5853W,-86.2448848,,,,KILBY DROP ZONE,1500.0,MSL,0.2,N,Y,,OCCASIONAL USE,ANB,ANNISTON,,,C/1/20SFG  ARMY,
2025/02/20,PAL009,CSG,TACAN,166.0,21.0,COLUMBUS,GA,FORT MOORE,32-16-24.5884N,32.27349677,084-55-29.1621W,-84.92476725,,,,LAE DROP ZONE,3000.0,MSL,5.0,,Y,,OCCASIONAL USE,MCN,MACON,,,,
2025/02/20,PAL011,RQZ,VORTAC,220.0,9.0,ROCKET,AL,,34-41-07.8768N,34.68552133,086-45-20.0073W,-86.75555758,,,,REDSTONE DROP ZONE,1500.0,MSL,0.2,N,Y,,OCCASIONAL USE,ANB,ANNISTON,,,HHD/1/20SFG ARMY,
2025/02/20,PAL013,OZR,VOR/DME,225.0,1.5,CAIRNS,AL,FORT RUCKER,31-15-01.1852N,31.25032922,085-44-44.9957W,-85.74583213,OZR,329.0,A,,14500.0,MSL,,Y,Y,,SUNRISE-SUNSET WEEKENDS,ANB,ANNISTON,,,,
2025/02/20,PAL014,VUZ,VORTAC,130.0,37.0,VULCAN,AL,VINCENT,33-15-20.0736N,33.255576,086-21-11.9333W,-86.3533148,,,,,10000.0,MSL,5.0,,Y,,0900-SS...WEEKENDS,ANB,ANNISTON,,,,
2025/02/20,PAL015,BFM,VORTAC,217.0,12.0,BROOKLEY,AL,BAYOU LA BATRE,30-27-40.8143N,30.4613373,088-12-26.3422W,-88.20731727,5R7,155.31,A,,12500.0,MSL,,N,Y,,SUNRISE-SUNSET DAILY,ANB,ANNISTON,,,SPORT TRAINING AND JUMPING,
2025/02/20,PAL018,RQZ,VORTAC,297.0,9.0,ROCKET,AL,HARVEST,34-52-11.9122N,34.86997561,086-47-35.8412W,-86.79328922,00AL,374.5,A,,13500.0,MSL,0.0,N,Y,,"SUNRISE-SUNSET, DAILY",ANB,ANNISTON,,,,
2025/02/20,PAL019,RRS,VORTAC,70.0,8.0,WIREGRASS,AL,HEADLAND,31-19-32.2742N,31.32563172,085-16-59.4924W,-85.28319233,HDL,376.0,A,,15000.0,MSL,,N,Y,,"1200-SS WKDAYS, SR-SS SAT-SUN AND HOLIDAYS",ANB,ANNISTON,,,,
