EFF_DATE,ARRIVAL_NAME,AMENDMENT_NO,ARTCC,STAR_AMEND_EFF_DATE,RNAV_FLAG,STAR_COMPUTER_CODE,SERVED_ARPT
2025/02/20,BLAID,TWO,ZLA,2024/01/25,N,AALAN.BLAID2,LAS
2025/02/20,AALLE,THREE,ZDV,2021/10/07,Y,AALLE.AALLE3,DEN
2025/02/20,AARCH,TWO,ZKC,2017/08/17,Y,AARCH.AARCH2,STL
2025/02/20,ADYMS,THREE,ZSE,2022/01/27,Y,ADYMS.ADYMS3,TCM
2025/02/20,AGUDE,FIVE,ZMP,2017/10/12,N,AGUDE.AGUDE5,21D ANE CFE FBL FCM GYL LVN MGG MIC OEO RNH SGS STP
2025/02/20,DNKIN,ONE,ZHU,2024/01/25,Y,AIRBL.DNKIN1,5C1 BAZ CVB PEZ RND SAT SKF SSF
2025/02/20,ALCRN,ONE,ZJX,2023/06/15,Y,ALCRN.ALCRN1,CRG JAX NIP NRB VQQ
2025/02/20,ALEXS,ONE,ZAU,2024/01/25,Y,ALEXS.ALEXS1,RFD
2025/02/20,FRDMM,SIX,ZDC,2024/05/16,Y,ALWYZ.FRDMM6,ADW DAA DCA
2025/02/20,ALYNA,FOUR,ZJX,2024/01/25,Y,ALYNA.ALYNA4,ISM LEE MCO ORL SFB
2025/02/20,NUMMY,THREE,ZDC,2019/06/20,N,AML.NUMMY3,ADW DAA DCA
2025/02/20,OLAAA,TWO,ZLA,2019/12/05,Y,AMMOR.OLAAA2,LAX
2025/02/20,SNSTT,TWO,ZLA,2018/02/01,Y,AMMOR.SNSTT2,LAX
2025/02/20,AMOTT,FOUR,ZAN,2018/03/29,Y,AMOTT.AMOTT4,ANC
2025/02/20,AMRVR,TWO,ZOA,2018/09/13,Y,AMRVR.AMRVR2,MHR
2025/02/20,AMYLU,THREE,ZJX,2020/11/05,Y,AMYLU.AMYLU3,CHS JZI
2025/02/20,ANAHO,TWO,ZOA,1996/02/29,N,ANAHO.ANAHO2,RNO
2025/02/20,DLAMP,EIGHT,ZID,2024/07/11,Y,ANCHR.DLAMP8,SDF
2025/02/20,ANJLL,FOUR,ZLA,2018/07/19,Y,ANJLL.ANJLL4,LAX
2025/02/20,BIGBR,THREE,ZLA,2018/05/24,Y,ANJLL.BIGBR3,LAX
2025/02/20,ANNEY,FOUR,ZMA,2017/12/07,N,ANNEY.ANNEY4,07FA HST MIA TMB X51
2025/02/20,DANEI,THREE,ZID,2019/10/10,N,APE.DANEI3,DAY FFO MGY MWO SGH
2025/02/20,EMMLN,ONE,ZLA,2022/11/03,N,APLES.EMMLN1,FUL HHR LGB SLI SNA
2025/02/20,ARKOE,ONE,ZLA,2012/04/05,N,ARKOE.ARKOE1,RIV
2025/02/20,ARLIN,FOUR,ZAB,2017/04/27,N,ARLIN.ARLIN4,CHD DVT FFZ IWA P19 PHX SDL
2025/02/20,ARRIE,NINE,ZSE,2024/12/26,N,ARRIE.ARRIE9,TCM
2025/02/20,AWDAD,ONE,ZHU,2017/12/07,N,AWDAD.AWDAD1,MSY NEW
2025/02/20,DEHAN,THREE,ZTL,2020/07/16,Y,AWSON.DEHAN3,6A2 CCO CTJ CVC D73 FFC FTY HMP LZU MGE PDK PUJ RYY VPC
2025/02/20,GIGGY,TWO,ZOB,2019/10/10,Y,AXXIS.GIGGY2,CYQG DET ONZ TTF
