EFF_DATE,ASOS_AWOS_ID,ASOS_AWOS_TYPE,STATE_CODE,CITY,COUNTRY_CODE,COMMISSIONED_DATE,NAVAID_FLAG,LAT_DEG,LAT_MIN,LAT_SEC,LAT_HEMIS,LAT_DECIMAL,LONG_DEG,LONG_MIN,LONG_SEC,LONG_HEMIS,LONG_DECIMAL,ELEV,SURVEY_METHOD_CODE,PHONE_NO,SECOND_PHONE_NO,SITE_NO,SITE_TYPE_CODE,REMARK
2025/03/20,00U,AWOS-3,MT,HARDIN,US,,N,45.0,44.0,43.15,N,45.74531944,107.0,39.0,35.13,W,-107.65975833,3085.0,,406-665-4241,,12385.2,A,
2025/03/20,01G,AWOS-2,NY,PERRY,US,,N,42.0,44.0,33.44,N,42.74262222,78.0,2.0,48.86,W,-78.04690555,1558.0,E,585-237-0235,,15942.0,A,
2025/03/20,04V,AWOS-3P,CO,SAGUACHE,US,2003/06/04,N,38.0,5.0,57.0,N,38.09916666,106.0,10.0,25.0,W,-106.17361111,,,719-655-2229,,2717.0,A,
2025/03/20,04W,AWOS-3,MN,HINCKLEY,US,,N,46.0,1.0,22.3252,N,46.02286811,92.0,53.0,42.6279,W,-92.89517441,1021.0,E,320-384-6169,,10739.01,A,
2025/03/20,05K,AWOS-3P,AK,PORT ALSWORTH,US,2020/03/16,N,60.0,11.0,49.8,N,60.19716666,154.0,19.0,26.9,W,-154.32413888,288.0,E,336-837-4290,,50610.82,A,
2025/03/20,05U,AWOS-3,NV,EUREKA,US,2004/04/14,N,39.0,36.0,7.28,N,39.60202222,116.0,0.0,21.87,W,-116.006075,5957.0,,775-237-6133,,13054.0,A,
2025/03/20,06C,AWOS-3,IL,CHICAGO/SCHAUMBURG,US,2016/12/20,N,41.0,59.0,32.4365,N,41.99234347,88.0,6.0,32.8666,W,-88.10912961,800.0,E,(847) 895-2887,,4518.8,A,
2025/03/20,06D,AWOS-3,ND,ROLLA,US,,N,48.0,53.0,3.9,N,48.88441666,99.0,37.0,14.7,W,-99.62075,1822.6,,701-477-0055,,17454.0,A,
2025/03/20,06U,AWOS-AV,NV,JACKPOT,US,2014/05/06,N,41.0,58.0,58.41,N,41.98289166,114.0,39.0,46.29,W,-114.66285833,5210.0,E,775-755-2297,,13079.25,A,
2025/03/20,07FA,AWOS-3T,FL,KEY LARGO,US,,N,25.0,13.0,13.73,N,25.22048055,80.0,16.0,48.74,W,-80.28020555,4.0,E,305-367-3013,,3260.8,A,
2025/03/20,08D,AWOS-3,ND,STANLEY,US,,N,48.0,18.0,6.6331,N,48.30184252,102.0,24.0,15.2169,W,-102.40422691,2239.0,S,701-628-1737,,17463.01,A,
2025/03/20,09CA,AWOS-AV,CA,KING CITY,US,,N,36.0,12.0,20.16,N,36.2056,121.0,7.0,59.06,W,-121.13307222,319.0,,831-386-7456,,1713.01,H,
