EFF_DATE,FIX_ID,ICAO_REGION_CODE,STATE_CODE,COUNTRY_CODE,CHARTING_TYPE_DESC
2025/03/20,AAALL,K6,MA,US,IAP
2025/03/20,AAAME,K2,CA,US,STAR
2025/03/20,AAARG,K,OA,US,CONTROLLER HIGH
2025/03/20,AAARG,K,OA,US,CONTROLLER LOW
2025/03/20,AAARG,K,OA,US,ENROUTE HIGH
2025/03/20,AAARG,K,OA,US,ENROUTE LOW
2025/03/20,AAARG,K,OA,US,WESTERN ATLANTIC ROUTE
2025/03/20,AAARN,K7,GA,US,CONTROLLER
2025/03/20,AAARN,K7,GA,US,ENROUTE LOW
2025/03/20,AAARN,K7,GA,US,STAR
2025/03/20,AABBZ,K5,KY,US,STAR
2025/03/20,AABEE,K7,GA,US,IAP
2025/03/20,AABER,K7,FL,US,ENROUTE HIGH
2025/03/20,AABER,K7,FL,US,ENROUTE LOW
2025/03/20,AABEY,K5,KY,US,IAP
2025/03/20,AABEZ,K3,MN,US,IAP
2025/03/20,AABGL,K5,IN,US,IAP
2025/03/20,AACES,K4,OK,US,STAR
2025/03/20,AACEZ,K,OA,US,NOT REQUIRED
2025/03/20,AADCO,K2,UT,US,CONTROLLER LOW
2025/03/20,AADCO,K2,UT,US,ENROUTE LOW
2025/03/20,AADCO,K2,UT,US,IAP
2025/03/20,AADDY,K6,MD,US,SID
2025/03/20,AADEN,K7,GA,US,CONTROLLER HIGH
2025/03/20,AADEN,K7,GA,US,CONTROLLER LOW
2025/03/20,AADEN,K7,GA,US,ENROUTE HIGH
2025/03/20,AADEN,K7,GA,US,ENROUTE LOW
2025/03/20,AADEN,K7,GA,US,STAR
2025/03/20,AADIE,K5,IN,US,STAR
2025/03/20,AADMS,K6,MA,US,CONTROLLER LOW
2025/03/20,AADMS,K6,MA,US,ENROUTE LOW
2025/03/20,AADMS,K6,MA,US,IAP
2025/03/20,AADMS,K6,MA,US,STAR
2025/03/20,AADPO,P,AS,US,ENROUTE LOW
2025/03/20,AAERO,K2,CO,US,SPECIAL DP
2025/03/20,AAERO,K2,CO,US,SPECIAL IAP
2025/03/20,AAFRE,K6,PA,US,SPECIAL IAP
2025/03/20,AAGEE,K2,CO,US,IAP
2025/03/20,AAGIN,K5,IL,US,CONTROLLER LOW
2025/03/20,AAGIN,K5,IL,US,ENROUTE LOW
2025/03/20,AAHOY,K,OG,US,STAR
2025/03/20,AAHZZ,K4,TX,US,STAR
2025/03/20,AAIRE,K7,SC,US,STAR
2025/03/20,AAIRR,K6,VA,US,SPECIAL IAP
2025/03/20,AAJAY,K5,KY,US,STAR
2025/03/20,AAKAY,K7,GA,US,IAP
2025/03/20,AAKAY,K7,GA,US,STAR
2025/03/20,AALAN,K2,AZ,US,CONTROLLER HIGH
2025/03/20,AALAN,K2,AZ,US,CONTROLLER LOW
2025/03/20,AALAN,K2,AZ,US,ENROUTE HIGH
2025/03/20,AALAN,K2,AZ,US,ENROUTE LOW
2025/03/20,AALAN,K2,AZ,US,STAR
2025/03/20,AALEX,K7,SC,US,STAR
2025/03/20,AALII,K4,AR,US,MILITARY IAP
2025/03/20,AALIX,K1,WA,US,CONTROLLER LOW
2025/03/20,AALIX,K1,WA,US,ENROUTE LOW
2025/03/20,AALLE,K2,CO,US,STAR
2025/03/20,AALNG,K1,MT,US,SID
2025/03/20,AALYS,K6,ME,US,CONTROLLER LOW
2025/03/20,AALYS,K6,ME,US,ENROUTE LOW
2025/03/20,AALYS,K6,ME,US,IAP
2025/03/20,AAMEE,K5,IL,US,IAP
2025/03/20,AAMMO,K7,NC,US,MILITARY IAP
2025/03/20,AAMOS,K7,FL,US,CONTROLLER LOW
2025/03/20,AAMOS,K7,FL,US,ENROUTE LOW
2025/03/20,AAMOS,K7,FL,US,STAR
2025/03/20,AAMYY,P,OP,US,CONTROLLER HIGH
2025/03/20,AAMYY,P,OP,US,ENROUTE HIGH
2025/03/20,AAMYY,P,OP,US,NORTH PACIFIC ROUTE
2025/03/20,AANAH,K3,MN,US,STAR
2025/03/20,AANDD,K4,OK,US,IAP
2025/03/20,AANDI,K7,MS,US,MILITARY IAP
2025/03/20,AANDY,K3,IA,US,STAR
2025/03/20,AANET,K2,CA,US,STAR
2025/03/20,AANNE,K2,CA,US,CONTROLLER LOW
2025/03/20,AANNE,K2,CA,US,IAP
2025/03/20,AANNN,K6,VA,US,IAP
2025/03/20,AANTS,K6,VA,US,ENROUTE LOW
2025/03/20,AANTS,K6,VA,US,STAR
2025/03/20,AANZA,K3,MN,US,IAP
2025/03/20,AARBY,K3,MO,US,IAP
2025/03/20,AARCH,K5,IL,US,CONTROLLER LOW
2025/03/20,AARCH,K5,IL,US,ENROUTE LOW
2025/03/20,AARCH,K5,IL,US,STAR
2025/03/20,AARCI,K2,CA,US,MILITARY IAP
2025/03/20,AAREN,K7,NC,US,IAP
2025/03/20,AARES,PH,HI,US,CONTROLLER LOW
2025/03/20,AARES,PH,HI,US,ENROUTE LOW
2025/03/20,AARES,PH,HI,US,SID
2025/03/20,AARGH,K4,OK,US,IAP
2025/03/20,AARIN,K5,IN,US,CONTROLLER
2025/03/20,AARIN,K5,IN,US,SECTIONAL
2025/03/20,AARNN,K7,NC,US,CONTROLLER HIGH
2025/03/20,AARNN,K7,NC,US,CONTROLLER LOW
2025/03/20,AARNN,K7,NC,US,ENROUTE HIGH
2025/03/20,AARON,K1,OR,US,STAR
2025/03/20,AARPS,K7,FL,US,CONTROLLER HIGH
2025/03/20,AARPS,K7,FL,US,CONTROLLER LOW
2025/03/20,AARPS,K7,FL,US,ENROUTE HIGH
2025/03/20,AARPS,K7,FL,US,ENROUTE LOW
2025/03/20,AARPS,K7,FL,US,SID
2025/03/20,AARTA,K7,AL,US,IAP
2025/03/20,AARUN,K,OA,US,CONTROLLER
2025/03/20,AARUN,K,OA,US,SID
2025/03/20,AARWX,K7,FL,US,CONTROLLER HIGH
2025/03/20,AARWX,K7,FL,US,CONTROLLER LOW
2025/03/20,AASEN,K1,WA,US,IAP
2025/03/20,AASEN,K1,WA,US,MILITARY IAP
