EFF_DATE,HP_NAME,HP_NO,STATE_CODE,COUNTRY_CODE,CHARTING_TYPE_DESC
2025/03/20,AABEE INT*GA*K7,1,GA,US,IAP
2025/03/20,AADEN WP*GA*K7,1,GA,US,ENROUTE HIGH
2025/03/20,AADEN WP*GA*K7,1,GA,US,STAR
2025/03/20,AALAN WP*AZ*K2,1,AZ,US,STAR
2025/03/20,AALLE WP*CO*K2,1,CO,US,STAR
2025/03/20,AAMMO WP*NC*K7,1,NC,US,MILITARY IAP
2025/03/20,AANNE INT*CA*K2,1,CA,US,IAP
2025/03/20,AANZA WP*MN*K3,1,MN,US,IAP
2025/03/20,AARCH WP*IL*K5,1,IL,US,STAR
2025/03/20,AARGH WP*OK*K4,1,OK,US,IAP
2025/03/20,AARNN WP*NC*K7,1,NC,US,ENROUTE HIGH
2025/03/20,AASEN INT*WA*K1,1,WA,US,MILITARY IAP
2025/03/20,AASEN INT*WA*K1,2,WA,US,IAP
2025/03/20,AATAT WP*GA*K7,1,GA,US,STAR
2025/03/20,AAYDE WP*WI*K5,1,WI,US,SPECIAL IAP
2025/03/20,AAYDE WP*WI*K5,2,WI,US,SPECIAL IAP
2025/03/20,AAYRR WP*WA*K1,1,WA,US,STAR
2025/03/20,ABBEVILLE NDB*LA,1,LA,US,IAP
2025/03/20,ABERDEEN VOR/DME*SD,1,SD,US,IAP
2025/03/20,ABERDEEN VOR/DME*SD,2,SD,US,IAP
2025/03/20,ABILENE VORTAC*TX,1,TX,US,IAP
2025/03/20,ACACE WP*MN*K3,1,MN,US,IAP
2025/03/20,ACAKO WP*MT*K1,1,MT,US,IAP
2025/03/20,ACAPU WP*FL*K7,1,FL,US,IAP
2025/03/20,ACDIV WP*MO*K3,1,MO,US,IAP
2025/03/20,ACEBO WP*MN*K3,1,MN,US,IAP
2025/03/20,ACEDI WP*KY*K5,1,KY,US,IAP
2025/03/20,ACEDI WP*KY*K5,1,KY,US,MILITARY IAP
2025/03/20,ACELA INT*CT*K6,1,CT,US,IAP
2025/03/20,ACENO INT*NC*K7,1,NC,US,MILITARY IAP
2025/03/20,ACENO WP*NC*K7,2,NC,US,MILITARY IAP
2025/03/20,ACERT WP*OK*K4,1,OK,US,IAP
2025/03/20,ACETY WP*CA*K2,1,CA,US,IAP
2025/03/20,ACIDU WP*WI*K5,1,WI,US,IAP
2025/03/20,ACINI WP*AZ*K2,1,AZ,US,MILITARY IAP
2025/03/20,ACISA INT*IN*K5,1,IN,US,IAP
2025/03/20,ACKEG WP*NE*K3,1,NE,US,IAP
2025/03/20,ACKLE WP*TX*K4,1,TX,US,IAP
2025/03/20,ACKME INT*TX*K4,1,TX,US,STAR
2025/03/20,ACLIN INT*TX*K4,1,TX,US,MILITARY IAP
2025/03/20,ACOKO WP*OK*K4,1,OK,US,IAP
2025/03/20,ACOLA WP*TX*K4,1,TX,US,IAP
2025/03/20,ACOLA WP*TX*K4,2,TX,US,IAP
2025/03/20,ACORE INT*IL*K5,1,IL,US,IAP
2025/03/20,ACOSI WP*UT*K2,1,UT,US,IAP
2025/03/20,ACOSU WP*MN*K3,1,MN,US,SPECIAL IAP
2025/03/20,ACOVE INT*NY*K6,1,NY,US,ENROUTE HIGH
2025/03/20,ACOVE INT*NY*K6,1,NY,US,ENROUTE LOW
2025/03/20,ACOVE INT*NY*K6,3,NY,US,STAR
2025/03/20,ACOVE WP*NY*K6,2,NY,US,STAR
2025/03/20,ACOVY WP*NV*K2,1,NV,US,IAP
2025/03/20,ACOVY WP*NV*K2,1,NV,US,MILITARY IAP
2025/03/20,ACROW WP*VA*K6,1,VA,US,STAR
2025/03/20,ACTED WP*TX*K4,1,TX,US,IAP
2025/03/20,ACUBO WP*KS*K3,1,KS,US,IAP
2025/03/20,ACUFF INT*TX*K4,1,TX,US,NOT REQUIRED
2025/03/20,ACUFF WP*TX*K4,2,TX,US,IAP
2025/03/20,ACUGI WP*OK*K4,1,OK,US,IAP
2025/03/20,ACUGO WP*ME*K6,1,ME,US,SPECIAL IAP
2025/03/20,ACYOG WP*ME*K6,1,ME,US,IAP
2025/03/20,ACZUP INT*MS*K7,1,MS,US,IAP
2025/03/20,ACZUP WP*MS*K7,2,MS,US,IAP
2025/03/20,ADAAM WP*FL*K7,1,FL,US,IAP
2025/03/20,"ADABE INT*MICRONESIA, FED STATES OF*K2",1,,FM,IAP
2025/03/20,ADABN WP*KY*K5,1,KY,US,IAP
2025/03/20,ADABY WP*NM*K2,1,NM,US,IAP
2025/03/20,ADAMM WP*CA*K2,1,CA,US,IAP
2025/03/20,ADANE INT*CO*K2,2,CO,US,IAP
2025/03/20,ADANE WP*CO*K2,1,CO,US,IAP
2025/03/20,ADANE WP*CO*K2,3,CO,US,IAP
2025/03/20,ADAPT WP*GA*K7,1,GA,US,MILITARY IAP
2025/03/20,ADAYI INT*GU*PG,1,GU,US,IAP
2025/03/20,ADCOM INT*SC*K7,1,SC,US,IAP
2025/03/20,ADDAY WP*OR*K1,1,OR,US,IAP
2025/03/20,ADDERS VORTAC*IL,1,IL,US,IAP
2025/03/20,ADDEY INT*NE*K3,1,NE,US,NOT REQUIRED
2025/03/20,ADDIL WP*TX*K4,1,TX,US,IAP
2025/03/20,ADEIN WP*TN*K7,1,TN,US,ENROUTE HIGH
2025/03/20,ADEIN WP*TN*K7,1,TN,US,STAR
2025/03/20,ADELA WP*KS*K3,1,KS,US,IAP
2025/03/20,ADELE INT*WI*K5,1,WI,US,IAP
2025/03/20,ADENO WP*MI*K5,1,MI,US,IAP
2025/03/20,ADEXE WP*ID*K1,1,ID,US,IAP
2025/03/20,ADEXE WP*ID*K1,1,ID,US,SID
2025/03/20,ADEYO WP*WI*K5,1,WI,US,SPECIAL IAP
2025/03/20,ADICA WP*KS*K3,1,KS,US,IAP
2025/03/20,ADIER WP*MN*K3,1,MN,US,IAP
2025/03/20,ADIOS WP*VA*K6,1,VA,US,IAP
2025/03/20,ADIUM WP*NJ*K6,1,NJ,US,IAP
2025/03/20,ADIVE WP*MS*K7,1,MS,US,IAP
2025/03/20,ADIXE WP*OK*K4,1,OK,US,IAP
2025/03/20,ADKAW WP*NC*K7,1,NC,US,IAP
2025/03/20,ADLYN WP*GA*K7,1,GA,US,STAR
2025/03/20,ADOBE WP*OK*K4,1,OK,US,IAP
2025/03/20,ADOKE WP*AR*K4,1,AR,US,IAP
2025/03/20,ADOMY WP*MN*K3,1,MN,US,IAP
2025/03/20,ADOSE INT*IL*K5,2,IL,US,IAP
2025/03/20,ADOSE WP*IL*K5,1,IL,US,IAP
2025/03/20,ADOWS INT*OK*K4,1,OK,US,MILITARY IAP
2025/03/20,ADOWS WP*OK*K4,2,OK,US,MILITARY IAP
2025/03/20,ADOZO WP*NM*K2,1,NM,US,IAP
2025/03/20,ADRYN WP*CA*K2,1,CA,US,IAP
2025/03/20,ADTIN INT*GU*PG,1,GU,US,MILITARY IAP
2025/03/20,ADUCA WP*AR*K4,1,AR,US,IAP
