EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,ALTITUDE,BRG,AIR_GND_CODE,CHK_DESC,ARPT_ID,STATE_CHK_CODE
2025/03/20,ACK,VOR/DME,MA,NANTUCKET,US,,242,G,1.9 NM ON RUNUP AREA AT APCH END RWY 24.,ACK,MA
2025/03/20,ACV,VOR/DME,CA,ARCATA/EUREKA,US,,148,G,.8 NM AT APCH END RWY 32 RUNUP AREA,ACV,CA
2025/03/20,AEL,VOR/DME,MN,ALBERT LEA,US,,96,G,0.3 NM  ON RAMP BY T HANGARS.,AEL,MN
2025/03/20,ALI,VOR,TX,ALICE,US,,272,G,0.5 NM ON TWY NEAR FBO.,ALI,TX
2025/03/20,ALO,VOR/DME,IA,WATERLOO,US,,312,G,0.8 NM TWY B APCH END RWY 12,ALO,IA
2025/03/20,ALW,VOR/DME,WA,WALLA WALLA,US,,41,G,0.5 NM ON TXY A BTN A2 AND A3.,ALW,WA
2025/03/20,APN,VORTAC,MI,ALPENA,US,,203,G,1.1 NM ON RUNUP FOR RWY 01.,APN,MI
2025/03/20,ART,VORTAC,NY,WATERTOWN,US,,46,G,3.0 NM ON RAMP IN FRONT OF ADMINISTRATION BUILDING.,ART,NY
2025/03/20,AST,VOR/DME,OR,ASTORIA,US,,156,G,0.5 NM EAST EDGE OF RAMP IN FRONT OF LARGE HANGAR.,AST,OR
2025/03/20,AWK,VORTAC,QW,WAKE ISLAND,US,,98,G,1.3 NM RUNUP AREA RWY 28.,AWK,QW
2025/03/20,BFF,VORTAC,NE,SCOTTSBLUFF,US,,240,G,5.1 NM ON NE EDGE RAMP OPPOSITE TERMINAL BLDG & W OF TWY TO RY 30.,BFF,NE
2025/03/20,BGR,VORTAC,ME,BANGOR,US,,153,G,3.8 NM ON RUNUP AREA RY 33.,BGR,ME
2025/03/20,BIS,VOR/DME,ND,BISMARCK,US,,262,G,3.0 NM TWY C5,BIS,ND
2025/03/20,BIS,VOR/DME,ND,BISMARCK,US,,275,G,4.2 NM TWY C1 APCH END RWY 13,BIS,ND
2025/03/20,BQN,VORTAC,PR,AGUADILLA,US,,271,G,2.2 NM ON APCH END OF RWY 08.,BQN,PR
2025/03/20,BRO,VORTAC,TX,BROWNSVILLE,US,,247,G,3.2 NM ON HOLD LINE RY 13R.,BRO,TX
2025/03/20,BVO,VOR/DME,OK,BARTLESVILLE,US,,166,G,4.5 NM ON PARALLEL TWY OPPOSITE TERMINAL. VOR CHECK POINT OTS INDEFLY.,BVO,OK
2025/03/20,BZN,VOR/DME,MT,BOZEMAN,US,,145,G,0.7 NM TWY H AT TWY A.,BZN,MT
2025/03/20,BZN,VOR/DME,MT,BOZEMAN,US,,272,G,0.5 NM TWY AT APCH END RWY 12.,BZN,MT
2025/03/20,CAE,VORTAC,SC,COLUMBIA,US,,322,G,6.8 NM. TWY A BETWEEN A1 & A2.,CAE,SC
2025/03/20,CBM,VORTAC,MS,COLUMBUS,US,,152,G,"0.7 NM S HAMMERHEAD, F TWY.",CBM,MS
2025/03/20,CBM,VORTAC,MS,COLUMBUS,US,,302,G,1.3 NM N. HAMMERHEAD (VTAC),CBM,MS
2025/03/20,CDS,VORTAC,TX,CHILDRESS,US,,353,G,3.7 NM AT THE APRON & THE TWY FM RYS 04/22.,CDS,TX
2025/03/20,CHS,VORTAC,SC,CHARLESTON,US,,133,G,0.3 NM AT RUNUP AREA RWY 33.,CHS,SC
2025/03/20,CHS,VORTAC,SC,CHARLESTON,US,,225,G,0.7 NM TWY D RWY 03.,CHS,SC
2025/03/20,CHS,VORTAC,SC,CHARLESTON,US,,336,G,1.2 NM AT RUNUP PAD RWY 15.,CHS,SC
2025/03/20,CHS,VORTAC,SC,CHARLESTON,US,,359,G,0.6 NM AT RUNUP PAD RWY 21.,CHS,SC
2025/03/20,CID,VOR/DME,IA,CEDAR RAPIDS,US,,92,G,4 NM ON RUNUP PAD RY 31.,CID,IA
2025/03/20,CKV,VOR/DME,TN,CLARKSVILLE,US,2000.0,345,A,13.5 NM OVER HANGAR,HVC,KY
2025/03/20,CKV,VOR/DME,TN,CLARKSVILLE,US,,307,G,4.9 NM ON TWY 6 CT ROMEO HELIPAD.,HOP,KY
2025/03/20,CME,VORTAC,NM,ROSWELL,US,,100,G,5.2 NM ON MIDDLE W RAMP ADJ TO TWY,ROW,NM
2025/03/20,CMI,VORTAC,IL,CHAMPAIGN/URBANA,US,,332,G,0.9 NM ON RUNUP PAD RWY 14L.,CMI,IL
2025/03/20,CRE,VORTAC,SC,NORTH MYRTLE BEACH,US,,213,G,0.7 NM ON RUNUP PAD RWY 05.,CRE,SC
2025/03/20,CVO,VOR/DME,OR,CORVALLIS,US,,49,G,.5 NM ON S EDGE OF TERMINAL RAMP.,CVO,OR
2025/03/20,CXR,VOR/DME,OH,CHARDON,US,2500.0,239,A,9.1 NM OVER HANGER NE CORNER OF ARPT,,OH
2025/03/20,DBQ,VORTAC,IA,DUBUQUE,US,,109,G,0.5 NM APCH END RY 31.,DBQ,IA
2025/03/20,DIK,VORTAC,ND,DICKINSON,US,,182,G,TAXIWAY B NEAR RAMP.,DIK,ND
2025/03/20,DJB,VOR/DME,OH,CLEVELAND,US,,222,G,1.3 NM AT INTERSECTION OF TAXIWAY AND RAMP.,LPR,OH
2025/03/20,DLF,VORTAC,TX,DEL RIO,US,,198,G,.5 NM ON RAMP APCH END RY 31L.,DLF,TX
2025/03/20,DLF,VORTAC,TX,DEL RIO,US,,275,G,.9 NM ON RAMP APCH END RY 13R.,DLF,TX
2025/03/20,DLH,VORTAC,MN,DULUTH,US,,345,G,"2.3 NM, TWY A2 AT RUN-UP PAD",DLH,MN
2025/03/20,DQO,VORTAC,DE,WILMINGTON,US,,285,G,.6 NM ON TWY K AT RWY 09.,ILG,DE
2025/03/20,DRO,VOR/DME,CO,DURANGO,US,,215,G,1.0 NM - RUNUP AREA RWY 03.,DRO,CO
2025/03/20,EAT,VOR/DME,WA,WENATCHEE,US,,102,G,"ON TWY E, SE OF TWY A2 AND SW OF HANGERS.",EAT,WA
2025/03/20,EAU,VORTAC,WI,EAU CLAIRE,US,,182,G,2.1 NM CENTER OF FBO RAMP.,EAU,WI
2025/03/20,ELY,VOR/DME,NV,ELY,US,,59,G,0.6 NM ON NE SIDE OF TWY A2 PRIOR TO INTXN WITH TWY A.,ELY,NV
2025/03/20,EUG,VORTAC,OR,EUGENE,US,,117,G,".5 NM, SOUTH SIDE GENERAL AVIATION PARKING ABEAM TWY H.",EUG,OR
2025/03/20,FAI,VORTAC,AK,FAIRBANKS,US,,58,G,10.8 NM - SOUTH RAMP ADJ TO RWY 25 TOUCHDOWN,FBK,AK
2025/03/20,FDK,VOR,MD,FREDERICK,US,,33,G,0.6 NM ON RUNUP PAD APCH END RY 23.,FDK,MD
2025/03/20,FDK,VOR,MD,FREDERICK,US,,359,G,0.6 NM INT TWYS 'C' & 'B'.,FDK,MD
2025/03/20,FHU,VOR/DME,AZ,FORT HUACHUCA SIERRA VISTA,US,,80,G,1.3 NM - RUNUP AREA TWY G AT RWY 26 END,FHU,AZ
2025/03/20,FNT,VORTAC,MI,FLINT,US,,170,G,0.9 NM TWY A SOUTH OF TWY E.,FNT,MI
2025/03/20,FSD,VORTAC,SD,SIOUX FALLS,US,,143,G,4.3 NM W SIDE OF E GEN AVN/FBO RAMP. ,FSD,SD
2025/03/20,FTK,VOR/DME,KY,FORT KNOX,US,,22,G,0.3 NM AT HOLD POSITION ON DELTA TWY.,FTK,KY
2025/03/20,FTK,VOR/DME,KY,FORT KNOX,US,,144,G,0.3 NM AT HOLD POSITION ON ALPHA TWY.,FTK,KY
2025/03/20,GCK,VORTAC,KS,GARDEN CITY,US,,358,G,1.2 NM AT NORTH RUNUP AREA ON TWY A.,GCK,KS
2025/03/20,GFK,VOR/DME,ND,GRAND FORKS,US,,157,G,1 NM ON TWY A5.,GFK,ND
2025/03/20,GGG,VORTAC,TX,LONGVIEW,US,,128,G,2.4 NM AT N END OF RAMP ON TWY TO RWY 13.,GGG,TX
2025/03/20,GLD,VORTAC,KS,GOODLAND,US,,201,G,1.2 NM ON PARKING RAMP IN FRONT OF AIR TERMINAL.,GLD,KS
