EFF_DATE,PJA_ID,FAC_ID,FAC_NAME,LOC_ID,COMMERCIAL_FREQ,COMMERCIAL_CHART_FLAG,MIL_FREQ,MIL_CHART_FLAG,SECTOR,CONTACT_FREQ_ALTITUDE
2025/02/20,PAK002,FAI,FAIRBANKS INTL,FAI,126.5,Y,,,,
2025/02/20,PAK006,ANC,TED STEVENS ANCHORAGE INTL,ANC,126.4,N,,,,
2025/02/20,PAK013,ANC,TED STEVENS ANCHORAGE INTL,ANC,126.4,Y,,,,
2025/02/20,PAK019,ANC,TED STEVENS ANCHORAGE INTL,ANC,118.6,Y,,,,
2025/02/20,PAK027,A11,ANCHORAGE APPROACH CONTROL,I90,118.6,Y,,,,
2025/02/20,PAL032,MGM,MONTGOMERY RGNL (DANNELLY FLD),MGM,121.2,Y,,,,
2025/02/20,PAL036,P31,PENSACOLA TRACON,P31,122.0,N,,,,
2025/02/20,PAZ001,ZAB,ALBUQUERQUE,ZAB,125.25,Y,,,,
2025/02/20,PAZ004,TUS,TUCSON INTL,TUS,125.1,Y,,,,
2025/02/20,PAZ007,ZAB,ALBUQUERQUE,ZAB,125.25,Y,,,,
2025/02/20,PAZ012,ZAB,ALBUQUERQUE,ZAB,124.5,Y,,,,
2025/02/20,PAZ015,ZAB,ALBUQUERQUE,ZAB,125.25,N,,,,
2025/02/20,PAZ016,P50,PHOENIX TRACON,P50,123.7,Y,,,,
2025/02/20,PAZ017,GCN,GRAND CANYON NTL PARK,GCN,119.0,Y,,,,
2025/02/20,PAZ017,ZLA,LOS ANGELES,ZLA,124.85,Y,,,,
2025/02/20,PAZ018,L30,LAS VEGAS TRACON,L30,125.475,Y,,,,
2025/02/20,PAZ019,L30,LAS VEGAS TRACON,L30,118.4,Y,,,,
2025/02/20,PAZ020,P50,PHOENIX TRACON,P50,123.7,Y,,,,
2025/02/20,PCA031,SCT,SOUTHERN CALIFORNIA TRACON,SCT,134.0,N,278.3,N,,
2025/02/20,PCA033,FAT,FRESNO YOSEMITE INTL,FAT,119.6,Y,,,,
2025/02/20,PCA037,ZOA,OAKLAND,ZOA,119.75,N,284.6,N,,
2025/02/20,PCA048,NCT,NORTHERN CALIFORNIA TRACON,NCT,123.85,N,278.3,N,,
2025/02/20,PCA049,NCT,NORTHERN CALIFORNIA TRACON,NCT,127.15,N,,,,
